[-0.0, 3.141593, 1, 1, 0.0]	[ 0.61803399 -1.61803399 -0.5        -0.5       ]
[3.141593, 6.283185, 1, 1, 0.0]	[ 0.61803399 -1.61803399 -0.5        -0.5       ]
[2.094395, 4.18879, 1, 1, 0.0]	[ 0.36602535 -1.36602535  0.36602545 -1.36602545]
[3.141593, 0.0, 1, 1, 0.0]	[ 0.61803399 -1.61803399 -0.5        -0.5       ]
[6.283185, 3.141593, 1, 1, 0.0]	[ 0.61803399 -1.61803399 -0.5        -0.5       ]
[3.141593, 3.141593, 1, 1, 0.0]	[ 0.61803399 -1.61803399 -0.5        -0.5       ]
[4.18879, 2.094395, 1, 1, 0.0]	[ 0.36602545  0.36602535 -1.36602545 -1.36602535]
[0.0, 4.18879, 1, 1, 1.0471975511965976]	[ 0.36602544 -0.5        -0.5        -1.36602544]
[2.094395, 2.094395, 1, 1, 1.0471975511965976]	[ 0.36602539 -0.5        -0.5        -1.36602539]
[2.094395, 4.18879, 1, 1, 1.0471975511965976]	[ 0.26204915  0.26204915 -1.26204915 -1.26204915]
[4.18879, 0.0, 1, 1, 1.0471975511965976]	[ 0.36602544 -1.36602544 -0.5        -0.5       ]
[4.18879, 2.094395, 1, 1, 1.0471975511965976]	[ 0.26204915  0.26204915 -1.26204915 -1.26204915]
[4.18879, 6.283185, 1, 1, 1.0471975511965976]	[ 0.36602541 -1.36602541 -0.5        -0.5       ]
[6.283185, 4.18879, 1, 1, 1.0471975511965976]	[ 0.36602541 -0.5        -0.5        -1.36602541]
[0.0, 0.0, 1, 1, 2.0943951023931953]	[ 0.3660254 -1.3660254  0.3660254 -1.3660254]
[-0.0, 2.094395, 1, 1, 2.0943951023931953]	[ 0.36602542 -1.36602542 -0.5        -0.5       ]
[-0.0, 6.283185, 1, 1, 2.0943951023931953]	[ 0.36602535  0.36602545 -1.36602535 -1.36602545]
[2.094395, 6.283185, 1, 1, 2.0943951023931953]	[-0.5       -0.5        0.3660254 -1.3660254]
[2.094395, -0.0, 1, 1, 2.0943951023931953]	[-0.5        -0.5         0.36602542 -1.36602542]
[4.18879, 4.18879, 1, 1, 2.0943951023931953]	[ 0.36602537 -0.5        -0.5        -1.36602537]
[6.283185, 0.0, 1, 1, 2.0943951023931953]	[ 0.36602545 -1.36602545  0.36602535 -1.36602535]
[6.283185, 2.094395, 1, 1, 2.0943951023931953]	[ 0.3660254 -1.3660254 -0.5       -0.5      ]
[6.283185, 6.283185, 1, 1, 2.0943951023931953]	[ 0.36602545  0.36602535 -1.36602545 -1.36602535]
[0.0, 0.0, 1, 1, 3.141592653589793]	[ 0.61803399 -1.61803399  0.61803399 -1.61803399]
[-0.0, 3.141593, 1, 1, 3.141592653589793]	[ 0.26376262 -0.5        -0.5        -1.26376262]
[-0.0, 6.283185, 1, 1, 3.141592653589793]	[ 0.61803399  0.61803399 -1.61803399 -1.61803399]
[3.141593, 6.283185, 1, 1, 3.141592653589793]	[-0.5        -0.5         0.26376262 -1.26376262]
[3.141593, 0.0, 1, 1, 3.141592653589793]	[-0.5        -0.5         0.26376262 -1.26376262]
[6.283185, 3.141593, 1, 1, 3.141592653589793]	[ 0.26376262 -0.5        -0.5        -1.26376262]
[3.141593, 3.141593, 1, 1, 3.141592653589793]	[ 0.26376262 -0.5        -0.5        -1.26376262]
[6.283185, 6.283185, 1, 1, 3.141592653589793]	[ 0.61803399  0.61803399 -1.61803399 -1.61803399]
[6.283185, 0.0, 1, 1, 3.141592653589793]	[ 0.61803399 -1.61803399  0.61803399 -1.61803399]
